t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
306895,2100,2.100000,0,0.820400,0.761500,0.000000,0.392460,0.761500,0.000000,9.061560,5.384384,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
306945,2150,2.150000,0,0.824400,0.760700,0.000000,0.392460,0.760700,0.000000,9.105741,5.437017,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306995,2200,2.200000,0,0.822800,0.761500,0.000000,0.392460,0.761500,0.000000,9.088068,5.415933,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
307045,2250,2.250000,0,0.822800,0.760700,0.000000,0.392460,0.760700,0.000000,9.088068,5.415933,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307095,2300,2.300000,0,0.817900,0.760700,0.000000,0.392460,0.760700,0.000000,9.033946,5.351619,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307145,2350,2.350000,0,0.821200,0.762300,0.000000,0.392460,0.762300,0.000000,9.070396,5.394890,2.548029,6.492453,-1.785729,-6.492453,-0.700828,-1.000000
307195,2400,2.400000,0,0.821200,0.760700,0.000000,0.392460,0.760700,0.000000,9.070396,5.394890,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307245,2450,2.450000,0,0.821200,0.760700,0.000000,0.392460,0.760700,0.000000,9.070396,5.394890,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307295,2500,2.500000,0,0.819600,0.761500,0.000000,0.392460,0.761500,0.000000,9.052723,5.373888,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
307345,2550,2.550000,0,0.819600,0.759900,0.000000,0.392460,0.759900,0.000000,9.052723,5.373888,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
307395,2600,2.600000,0,0.820400,0.760700,0.000000,0.392460,0.760700,0.000000,9.061560,5.384384,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307445,2650,2.650000,0,0.817900,0.760700,0.000000,0.392460,0.760700,0.000000,9.033946,5.351619,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307495,2700,2.700000,0,0.822000,0.760700,0.000000,0.392460,0.760700,0.000000,9.079232,5.405407,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307545,2750,2.750000,0,0.831600,0.760700,0.000000,0.392460,0.760700,0.000000,9.185267,5.532402,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307595,2800,2.800000,0,0.821200,0.760700,0.000000,0.392460,0.760700,0.000000,9.070396,5.394890,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307645,2850,2.850000,0,0.817900,0.759900,0.000000,0.392460,0.759900,0.000000,9.033946,5.351619,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
307695,2900,2.900000,0,0.822000,0.760700,0.000000,0.392460,0.760700,0.000000,9.079232,5.405407,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307745,2950,2.950000,0,0.817900,0.760700,0.000000,0.392460,0.760700,0.000000,9.033946,5.351619,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307795,3000,3.000000,0,0.822800,0.760700,0.000000,0.392460,0.760700,0.000000,9.088068,5.415933,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307845,3050,3.050000,0,0.821200,0.761500,0.000000,0.392460,0.761500,0.000000,9.070396,5.394890,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
307895,3100,3.100000,0,0.819600,0.760700,0.000000,0.392460,0.760700,0.000000,9.052723,5.373888,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307945,3150,3.150000,0,0.819600,0.760700,0.000000,0.392460,0.760700,0.000000,9.052723,5.373888,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
307995,3200,3.200000,0,0.812300,0.762300,0.000000,0.392460,0.762300,0.000000,8.972093,5.278587,2.548029,6.492453,-1.785729,-6.492453,-0.700828,-1.000000
308045,3250,3.250000,0,0.824400,0.760700,0.000000,0.392460,0.760700,0.000000,9.105741,5.437017,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308095,3300,3.300000,0,0.813900,0.759100,0.000000,0.392460,0.759100,0.000000,8.989765,5.299402,2.548029,6.492453,-1.788929,-6.492453,-0.702083,-1.000000
308145,3350,3.350000,0,0.813900,0.760700,0.000000,0.392460,0.760700,0.000000,8.989765,5.299402,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308195,3400,3.400000,0,0.819600,0.760700,0.000000,0.392460,0.760700,0.000000,9.052723,5.373888,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308245,3450,3.450000,0,0.809900,0.761500,0.000000,0.392460,0.761500,0.000000,8.945584,5.247441,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
308295,3500,3.500000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308345,3550,3.550000,0,0.818800,0.761500,0.000000,0.392460,0.761500,0.000000,9.043887,5.363403,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
308395,3600,3.600000,0,0.817100,0.760700,0.000000,0.392460,0.760700,0.000000,9.025110,5.341155,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308445,3650,3.650000,0,0.813100,0.760700,0.000000,0.392460,0.760700,0.000000,8.980929,5.288989,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308495,3700,3.700000,0,0.813100,0.760700,0.000000,0.392460,0.760700,0.000000,8.980929,5.288989,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308545,3750,3.750000,0,0.813900,0.768800,0.000000,0.392460,0.768800,0.000000,8.989765,5.299402,2.548029,6.492453,-1.779229,-6.492453,-0.698277,-1.000000
308595,3800,3.800000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308645,3850,3.850000,0,0.814700,0.758300,0.000000,0.392460,0.758300,0.000000,8.998601,5.309825,2.548029,6.492453,-1.789729,-6.492453,-0.702397,-1.000000
308695,3900,3.900000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308745,3950,3.950000,0,0.811500,0.761500,0.000000,0.392460,0.761500,0.000000,8.963256,5.268194,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
308795,4000,4.000000,0,0.813100,0.760700,0.000000,0.392460,0.760700,0.000000,8.980929,5.288989,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308845,4050,4.050000,0,0.814700,0.760700,0.000000,0.392460,0.760700,0.000000,8.998601,5.309825,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308895,4100,4.100000,0,0.813900,0.760700,0.000000,0.392460,0.760700,0.000000,8.989765,5.299402,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308945,4150,4.150000,0,0.817100,0.760700,0.000000,0.392460,0.760700,0.000000,9.025110,5.341155,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
308995,4200,4.200000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
309045,4250,4.250000,0,0.813100,0.760700,0.000000,0.392460,0.760700,0.000000,8.980929,5.288989,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
309095,4300,4.300000,0,0.813100,0.762300,0.000000,0.392460,0.762300,0.000000,8.980929,5.288989,2.548029,6.492453,-1.785729,-6.492453,-0.700828,-1.000000
309145,4350,4.350000,0,0.834100,0.746200,0.000000,0.392460,0.746200,0.000000,9.212880,5.565715,2.548029,6.492453,-1.801829,-6.492453,-0.707146,-1.000000
309195,4400,4.400000,0,0.850200,0.694700,0.000000,0.392460,0.694700,0.000000,9.390709,5.782651,2.548029,6.492453,-1.853329,-6.492453,-0.727358,-1.000000
309245,4450,4.450000,0,0.861500,0.747000,0.000000,0.392460,0.747000,0.000000,9.515521,5.937386,2.548029,6.492453,-1.801029,-6.492453,-0.706832,-1.000000
309295,4500,4.500000,0,0.876800,0.740600,0.000000,0.392460,0.740600,0.000000,9.684514,6.150152,2.548029,6.492453,-1.807429,-6.492453,-0.709344,-1.000000
309345,4550,4.550000,0,0.877600,0.797800,0.000000,0.392460,0.797800,0.000000,9.693350,6.161380,2.548029,6.492453,-1.750229,-6.492453,-0.686895,-1.000000
309395,4600,4.600000,0,0.880000,0.710800,0.000000,0.392460,0.710800,0.000000,9.719859,6.195125,2.548029,6.492453,-1.837229,-6.492453,-0.721039,-1.000000
309445,4650,4.650000,0,0.911400,0.816300,0.000000,0.392460,0.816300,0.000000,10.066681,6.645120,2.548029,6.492453,-1.731729,-6.492453,-0.679635,-1.000000
309495,4700,4.700000,0,0.919500,0.744600,0.000000,0.392460,0.744600,0.000000,10.156148,6.763760,2.548029,6.492453,-1.803429,-6.492453,-0.707774,-1.000000
309545,4750,4.750000,0,0.926700,0.702700,0.000000,0.392460,0.702700,0.000000,10.235674,6.870100,2.548029,6.492453,-1.845329,-6.492453,-0.724218,-1.000000
309595,4800,4.800000,0,0.906600,0.824400,0.000000,0.392460,0.824400,0.000000,10.013664,6.575309,2.548029,6.492453,-1.723629,-6.492453,-0.676456,-1.000000
309645,4850,4.850000,0,0.975100,0.764800,0.000000,0.392460,0.764800,0.000000,10.770267,7.606468,2.548029,6.492453,-1.783229,-6.492453,-0.699846,-1.000000
309695,4900,4.900000,0,0.992800,0.665600,0.000000,0.392460,0.665600,0.000000,10.965768,7.885120,2.548029,6.492453,-1.882429,-6.492453,-0.738778,-1.000000
309745,4950,4.950000,0,0.981500,1.004900,0.000000,0.392460,1.004900,0.000000,10.840956,7.706645,2.548029,6.492453,-1.543129,-6.492453,-0.605617,-1.000000
309795,5000,5.000000,0,1.039600,0.706700,0.000000,0.392460,0.706700,0.000000,11.482688,6.713448,2.548029,6.492453,-1.841329,-6.492453,-0.722648,-1.000000
309845,5050,5.050000,0,1.031500,0.882400,0.000000,0.392460,0.882400,0.000000,11.393221,6.609241,2.548029,6.492453,-1.665629,-6.492453,-0.653693,-1.000000
309895,5100,5.100000,0,1.053300,0.920300,0.000000,0.392460,0.920300,0.000000,11.634009,6.891556,2.548029,6.492453,-1.627729,-6.492453,-0.638819,-1.000000
309945,5150,5.150000,0,1.033900,0.915500,0.000000,0.392460,0.915500,0.000000,11.419730,6.640032,2.548029,6.492453,-1.632529,-6.492453,-0.640703,-1.000000
309995,5200,5.200000,0,1.079000,0.843700,0.000000,0.392460,0.843700,0.000000,11.917873,7.231960,2.548029,6.492453,-1.704329,-6.492453,-0.668881,-1.000000
310045,5250,5.250000,0,1.113700,0.597100,0.000000,0.392460,0.597100,0.000000,12.301144,7.704590,2.548029,6.492453,-1.950929,-6.492453,-0.765662,-1.000000
310095,5300,5.300000,0,1.133000,0.689800,0.000000,0.392460,0.689800,0.000000,12.514319,7.973939,2.548029,6.492453,-1.858229,-6.492453,-0.729281,-1.000000
310145,5350,5.350000,0,1.143500,0.638200,0.000000,0.392460,0.638200,0.000000,12.630294,8.122420,2.548029,6.492453,-1.909829,-6.492453,-0.749532,-1.000000
310195,5400,5.400000,0,1.136300,0.593900,0.000000,0.392460,0.593900,0.000000,12.550768,8.020457,2.548029,6.492453,-1.954129,-6.492453,-0.766918,-1.000000
310245,5450,5.450000,0,1.181400,0.687400,0.000000,0.392460,0.687400,0.000000,13.048911,8.669759,2.548029,6.492453,-1.860629,-6.492453,-0.730223,-1.000000
310295,5500,5.500000,0,1.183800,0.850200,0.000000,0.392460,0.850200,0.000000,13.075420,8.705020,2.548029,6.492453,-1.697829,-6.492453,-0.666330,-1.000000
310345,5550,5.550000,0,1.208000,0.736600,0.000000,0.392460,0.736600,0.000000,13.342716,9.064565,2.548029,6.492453,-1.811429,-6.492453,-0.710914,-1.000000
